fold,val_auroc,best_epoch,accuracy,balanced_accuracy,precision,recall,sensitivity,f1_score,cohen_kappa,specificity,npv,ppv,mcc,auroc,auc_pr,n_samples,n_positive,n_negative,class_ratio
1,0.7789772727272728,1,0.7890625,0.7035203520352036,0.5,0.5555555555555556,0.5555555555555556,0.5263157894736842,0.39112050739957716,0.8514851485148515,0.8775510204081632,0.5,0.3920186643126056,0.803080308030803,0.6411544232477129,128,27,101,0.2109375
2,0.875,1,0.6875,0.7341400806747341,0.38596491228070173,0.8148148148148148,0.8148148148148148,0.5238095238095238,0.33281209278081836,0.6534653465346535,0.9295774647887324,0.38596491228070173,0.38439853699860693,0.8203153648698203,0.6180436487033538,128,27,101,0.2109375
3,0.7892857142857144,1,0.765625,0.7022368903557022,0.45714285714285713,0.5925925925925926,0.5925925925925926,0.5161290322580645,0.36486933509758523,0.8118811881188119,0.8817204301075269,0.45714285714285713,0.3702179289802933,0.7755775577557755,0.5969144873232409,128,27,101,0.2109375
4,0.8505952380952382,1,0.7890625,0.7306563989732306,0.5,0.6296296296296297,0.6296296296296297,0.5573770491803278,0.42129939718687204,0.8316831683168316,0.8936170212765957,0.5,0.4261227163675485,0.7972130546387972,0.6244043618609185,128,27,101,0.2109375
5,0.8077380952380953,1,0.71875,0.686101943527686,0.3953488372093023,0.6296296296296297,0.6296296296296297,0.4857142857142857,0.30581500451943355,0.7425742574257426,0.8823529411764706,0.3953488372093023,0.3214991156401122,0.7634763476347635,0.6191425084256068,128,27,101,0.2109375
