epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,4,0.6977408417299682,0.6622889637947083,0.5147783251231527,0.5433422038241672,0.46779661016949153,0.7752808988764045,0.7752808988764045,0.5835095137420718,0.31140350877192985,0.6396396396396397,0.46779661016949153,0.09650413294083839,0.5361226098955253,0.49237340624060844,0.6977408417299682,406,178,228,0.43842364532019706,0.7029702970297029,0.6544642857142857,0.36363636363636365,0.5714285714285714,0.5714285714285714,0.4444444444444444,0.7375,0.8676470588235294,0.36363636363636365,0.26730143526671446,0.7398809523809524,0.48572969190620646,0.6622889637947083,101,21,80,0.2079207920792079
2,4,0.667365127918767,0.6655843762251047,0.6182266009852216,0.622527913595563,0.6705882352941176,0.5352112676056338,0.5352112676056338,0.5953002610966057,0.7098445595854922,0.5805084745762712,0.6705882352941176,0.2480578802260842,0.6597825293731301,0.6719818601629527,0.667365127918767,406,213,193,0.5246305418719212,0.7029702970297029,0.7598214285714285,0.4,0.8571428571428571,0.8571428571428571,0.5454545454545454,0.6625,0.9464285714285714,0.4,0.42428661616065766,0.7892857142857144,0.5138234683699181,0.6655843762251047,101,21,80,0.2079207920792079
3,4,0.6469557393415302,0.6326998357589428,0.6576354679802956,0.6576481441021533,0.6485148514851485,0.6582914572864321,0.6582914572864321,0.6533665835411472,0.6570048309178744,0.6666666666666666,0.6485148514851485,0.3152388979549725,0.7064792561843031,0.698394858860897,0.6469557393415302,406,199,207,0.49014778325123154,0.7425742574257426,0.661904761904762,0.4074074074074074,0.5238095238095238,0.5238095238095238,0.4583333333333333,0.8,0.8648648648648649,0.4074074074074074,0.29692483027025796,0.8,0.5446597521505459,0.6326998357589428,101,21,80,0.2079207920792079
4,4,0.6150359076027777,0.6209628742474776,0.6748768472906403,0.6690549632040415,0.768595041322314,0.4720812182741117,0.4720812182741117,0.5849056603773585,0.8660287081339713,0.6350877192982456,0.768595041322314,0.3694443780674287,0.756636630801739,0.7516158790308349,0.6150359076027777,406,197,209,0.4852216748768473,0.7623762376237624,0.7095238095238096,0.4482758620689655,0.6190476190476191,0.6190476190476191,0.52,0.8,0.8888888888888888,0.4482758620689655,0.37588307505881713,0.8238095238095238,0.5635282331157063,0.6209628742474776,101,21,80,0.2079207920792079
5,4,0.6076062292444939,0.598166184929701,0.7118226600985221,0.7118226600985222,0.7471264367816092,0.6403940886699507,0.6403940886699507,0.6896551724137931,0.7832512315270936,0.6853448275862069,0.7471264367816092,0.4280355443992053,0.7685214394913733,0.7634595378236633,0.6076062292444939,406,203,203,0.5,0.7722772277227723,0.7157738095238095,0.4642857142857143,0.6190476190476191,0.6190476190476191,0.5306122448979592,0.8125,0.8904109589041096,0.4642857142857143,0.3912397024832474,0.844047619047619,0.5923062731117037,0.598166184929701,101,21,80,0.2079207920792079
6,4,0.5870784290280997,0.5788910354559238,0.7241379310344828,0.7236743113699794,0.7431693989071039,0.6766169154228856,0.6766169154228856,0.7083333333333334,0.7707317073170732,0.7085201793721974,0.7431693989071039,0.4495138604639885,0.7906807426283218,0.7802465997920225,0.5870784290280997,406,201,205,0.49507389162561577,0.7920792079207921,0.7107142857142856,0.5,0.5714285714285714,0.5714285714285714,0.5333333333333333,0.85,0.8831168831168831,0.5,0.40181637689635674,0.8291666666666666,0.5782103731364643,0.5788910354559238,101,21,80,0.2079207920792079
7,4,0.5786505280172124,0.5351071586975684,0.7216748768472906,0.7164378894080996,0.7484276729559748,0.6197916666666666,0.6197916666666666,0.6780626780626781,0.8130841121495327,0.7044534412955465,0.7484276729559748,0.44276547408619776,0.7905957943925235,0.7771391639406049,0.5786505280172124,406,192,214,0.4729064039408867,0.8316831683168316,0.7357142857142858,0.6,0.5714285714285714,0.5714285714285714,0.5853658536585366,0.9,0.8888888888888888,0.6,0.48007935851918326,0.8613095238095237,0.6181544807164887,0.5351071586975684,101,21,80,0.2079207920792079
8,4,0.5727846204650169,0.5614346197018256,0.7389162561576355,0.7335878233806652,0.7933333333333333,0.6134020618556701,0.6134020618556701,0.6918604651162791,0.8537735849056604,0.70703125,0.7933333333333333,0.4834854163624934,0.8132902159113014,0.7723880362308562,0.5727846204650169,406,194,212,0.47783251231527096,0.7920792079207921,0.780952380952381,0.5,0.7619047619047619,0.7619047619047619,0.6037735849056604,0.8,0.927536231884058,0.5,0.490137373174573,0.8642857142857143,0.6200744872906765,0.5614346197018256,101,21,80,0.2079207920792079
9,4,0.5808539551262762,0.6024311735079839,0.7315270935960592,0.732233009708738,0.7621621621621621,0.6844660194174758,0.6844660194174758,0.7212276214833759,0.78,0.7058823529411765,0.7621621621621621,0.46625183414141147,0.7907281553398059,0.7696721521666722,0.5808539551262762,406,206,200,0.5073891625615764,0.7425742574257426,0.8199404761904762,0.4444444444444444,0.9523809523809523,0.9523809523809523,0.6060606060606061,0.6875,0.9821428571428571,0.4444444444444444,0.5224606098198247,0.8797619047619047,0.6380610181471891,0.6024311735079839,101,21,80,0.2079207920792079
10,4,0.5767704970112034,0.5373054628188794,0.7142857142857143,0.7109460611226105,0.7142857142857143,0.6544502617801047,0.6544502617801047,0.6830601092896175,0.7674418604651163,0.7142857142857143,0.7142857142857143,0.42521866084835236,0.7966151223669793,0.7442213286333842,0.5767704970112034,406,191,215,0.47044334975369456,0.7821782178217822,0.7571428571428571,0.4838709677419355,0.7142857142857143,0.7142857142857143,0.5769230769230769,0.8,0.9142857142857143,0.4838709677419355,0.4525110977801759,0.8779761904761905,0.6402979648352285,0.5373054628188794,101,21,80,0.2079207920792079
