epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_cohen_kappa,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_cohen_kappa,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,2,0.3732685103712648,0.08184454728981626,0.5950617283950618,0.5942576962482315,0.5945945945945946,0.6407766990291263,0.6407766990291263,0.616822429906542,0.18877326689139673,0.5477386934673367,0.5956284153005464,0.5945945945945946,0.18936727640287024,0.6684636776113578,0.6937414732170712,0.3732685103712648,405,206,199,0.508641975308642,0.7843137254901961,0.5329545454545455,0.5,0.09090909090909091,0.09090909090909091,0.15384615384615385,0.09369951534733434,0.975,0.7959183673469388,0.5,0.1396556857959573,0.6488636363636363,0.4082301479509106,0.08184454728981626,102,22,80,0.21568627450980393
2,2,0.32742419645855314,0.06325088820292377,0.6962962962962963,0.6966403162055337,0.7121212121212122,0.6811594202898551,0.6811594202898551,0.6962962962962963,0.39289239881539983,0.7121212121212122,0.6811594202898551,0.7121212121212122,0.3932806324110672,0.7449860928121799,0.7585563328780816,0.32742419645855314,405,207,198,0.5111111111111111,0.7254901960784313,0.5778409090909091,0.35,0.3181818181818182,0.3181818181818182,0.3333333333333333,0.16098707403055235,0.8375,0.8170731707317073,0.35,0.1612769512016938,0.7017045454545454,0.4577742445857131,0.06325088820292377,102,22,80,0.21568627450980393
3,2,0.3326286982619534,0.06566480918120884,0.6814814814814815,0.6815853658536586,0.69,0.6731707317073171,0.6731707317073171,0.6814814814814815,0.36306004266991765,0.69,0.6731707317073171,0.69,0.36317073170731706,0.7326341463414635,0.7099330204707095,0.3326286982619534,405,205,200,0.5061728395061729,0.6764705882352942,0.5465909090909091,0.28,0.3181818181818182,0.3181818181818182,0.2978723404255319,0.0887926367081755,0.775,0.8051948051948052,0.28,0.0890988599685639,0.6869318181818183,0.38142248008048213,0.06566480918120884,102,22,80,0.21568627450980393
4,2,0.3250400308471814,0.05878633508166554,0.6395061728395062,0.639308881627079,0.6647058823529411,0.5594059405940595,0.5594059405940595,0.6075268817204301,0.2787265186630885,0.7192118226600985,0.6212765957446809,0.6647058823529411,0.28227610309312523,0.712164073550212,0.731213571422066,0.3250400308471814,405,202,203,0.49876543209876545,0.696078431372549,0.7238636363636364,0.3953488372093023,0.7727272727272727,0.7727272727272727,0.5230769230769231,0.3326298016040524,0.675,0.9152542372881356,0.3953488372093023,0.3729148259930729,0.7659090909090909,0.539883702533756,0.05878633508166554,102,22,80,0.21568627450980393
5,2,0.28805777145891714,0.08772525697713718,0.6592592592592592,0.6550925925925926,0.6473988439306358,0.5925925925925926,0.5925925925925926,0.6187845303867403,0.31183510638297873,0.7175925925925926,0.6681034482758621,0.6473988439306358,0.31283244226649987,0.7710905349794238,0.7331860905308264,0.28805777145891714,405,189,216,0.4666666666666667,0.6862745098039216,0.5363636363636364,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.07272727272727264,0.8,0.8,0.2727272727272727,0.07272727272727272,0.575,0.36176970063888203,0.08772525697713718,102,22,80,0.21568627450980393
6,2,0.2582991006050437,0.06680214109741535,0.7382716049382716,0.7373396106747329,0.7597765363128491,0.6834170854271356,0.6834170854271356,0.7195767195767195,0.47549115433486455,0.7912621359223301,0.7212389380530974,0.7597765363128491,0.47783684540758403,0.8132653559057423,0.810551752598704,0.2582991006050437,405,199,206,0.49135802469135803,0.7549019607843137,0.6789772727272727,0.4444444444444444,0.5454545454545454,0.5454545454545454,0.4897959183673469,0.3307086614173228,0.8125,0.8666666666666667,0.4444444444444444,0.3337119062359573,0.7403409090909091,0.49724958703515104,0.06680214109741535,102,22,80,0.21568627450980393
7,2,0.2491508507630257,0.0880057885251339,0.7407407407407407,0.7393487076757708,0.7405405405405405,0.7061855670103093,0.7061855670103093,0.7229551451187335,0.47959370984519367,0.7725118483412322,0.740909090909091,0.7405405405405405,0.4800715511222164,0.8318268432110227,0.8369181568629237,0.2491508507630257,405,194,211,0.47901234567901235,0.6078431372549019,0.6017045454545455,0.29545454545454547,0.5909090909090909,0.5909090909090909,0.3939393939393939,0.14929107589658042,0.6125,0.8448275862068966,0.29545454545454547,0.16892205561158471,0.6369318181818181,0.42896095721192223,0.0880057885251339,102,22,80,0.21568627450980393
8,2,0.27318817306973336,0.07492926785797703,0.745679012345679,0.7450480558130458,0.7580645161290323,0.7085427135678392,0.7085427135678392,0.7324675324675325,0.49064068280889406,0.7815533980582524,0.7351598173515982,0.7580645161290323,0.4916577346063293,0.8184368444162561,0.8353905600828673,0.27318817306973336,405,199,206,0.49135802469135803,0.7549019607843137,0.6789772727272727,0.4444444444444444,0.5454545454545454,0.5454545454545454,0.4897959183673469,0.3307086614173228,0.8125,0.8666666666666667,0.4444444444444444,0.3337119062359573,0.73125,0.4931781011480551,0.07492926785797703,102,22,80,0.21568627450980393
9,2,0.266688065846672,0.09978723503238643,0.7530864197530864,0.7533536585365854,0.7380952380952381,0.775,0.775,0.7560975609756098,0.506398537477148,0.7317073170731707,0.7692307692307693,0.7380952380952381,0.507016567829499,0.8344390243902439,0.8134907607163182,0.266688065846672,405,200,205,0.49382716049382713,0.7156862745098039,0.6375,0.3793103448275862,0.5,0.5,0.43137254901960786,0.24656138563423335,0.775,0.8493150684931506,0.3793103448275862,0.2507428736040222,0.6346590909090909,0.39550475765897136,0.09978723503238643,102,22,80,0.21568627450980393
10,2,0.24432015965766715,0.10398214538130846,0.7777777777777778,0.7772288098375055,0.772093023255814,0.8019323671497585,0.8019323671497585,0.7867298578199052,0.554945054945055,0.7525252525252525,0.7842105263157895,0.772093023255814,0.555379817703372,0.8553652466695945,0.8304176285606073,0.24432015965766715,405,207,198,0.5111111111111111,0.6862745098039216,0.5528409090909091,0.2916666666666667,0.3181818181818182,0.3181818181818182,0.30434782608695654,0.10231023102310233,0.7875,0.8076923076923077,0.2916666666666667,0.10247164028616436,0.6323863636363637,0.390289893050796,0.10398214538130846,102,22,80,0.21568627450980393
