Strategy,AUROC,AUC-PR,Balanced Acc,F1-Score,Sensitivity,Specificity,MCC
No Balancing (Baseline),0.695 ± 0.055,0.456 ± 0.067,0.552 ± 0.043,0.188 ± 0.146,0.121 ± 0.105,0.983 ± 0.024,0.205 ± 0.134
Focal Loss,0.718 ± 0.042,0.483 ± 0.061,0.666 ± 0.041,0.467 ± 0.057,0.525 ± 0.098,0.807 ± 0.066,0.313 ± 0.079
Weighted Cross-Entropy,0.701 ± 0.052,0.441 ± 0.081,0.557 ± 0.076,0.258 ± 0.159,0.306 ± 0.292,0.808 ± 0.172,0.118 ± 0.137
Balanced Sampling,0.717 ± 0.045,0.473 ± 0.053,0.654 ± 0.029,0.441 ± 0.026,0.626 ± 0.172,0.682 ± 0.119,0.267 ± 0.036
Focal Loss + Balanced Sampling,0.716 ± 0.038,0.472 ± 0.056,0.549 ± 0.050,0.372 ± 0.024,0.952 ± 0.067,0.145 ± 0.133,0.109 ± 0.098
Weighted CE + Balanced Sampling,0.716 ± 0.041,0.471 ± 0.055,0.518 ± 0.019,0.356 ± 0.011,0.972 ± 0.042,0.065 ± 0.074,0.054 ± 0.053
