Strategy,AUROC,AUC-PR,Balanced Acc,F1-Score,Sensitivity,Specificity,MCC
No Balancing (Baseline),0.704 ± 0.052,0.468 ± 0.054,0.533 ± 0.029,0.127 ± 0.107,0.074 ± 0.069,0.993 ± 0.011,0.172 ± 0.102
Focal Loss,0.715 ± 0.050,0.475 ± 0.051,0.566 ± 0.061,0.220 ± 0.184,0.149 ± 0.142,0.982 ± 0.021,0.230 ± 0.153
Weighted Cross-Entropy,0.704 ± 0.052,0.468 ± 0.054,0.533 ± 0.029,0.127 ± 0.107,0.074 ± 0.069,0.993 ± 0.011,0.172 ± 0.102
Balanced Sampling,0.697 ± 0.056,0.454 ± 0.085,0.586 ± 0.109,0.357 ± 0.159,0.555 ± 0.343,0.618 ± 0.341,0.155 ± 0.188
Focal Loss + Balanced Sampling,0.714 ± 0.051,0.465 ± 0.055,0.581 ± 0.071,0.322 ± 0.184,0.594 ± 0.353,0.568 ± 0.332,0.138 ± 0.116
Weighted CE + Balanced Sampling,0.697 ± 0.056,0.454 ± 0.085,0.586 ± 0.109,0.357 ± 0.159,0.555 ± 0.343,0.618 ± 0.341,0.155 ± 0.188
