epoch,train_loss,val_loss,train_mse,train_rmse,train_mae,train_r2,train_spearman_correlation,train_spearman_p_value,train_c_index,train_binary_accuracy,train_precision,train_recall,train_f1_score,train_specificity,train_auroc,train_auprc,train_boundary_mae,train_boundary_rmse,train_pred_mean,train_pred_std,train_target_mean,train_target_std,train_pred_min,train_pred_max,train_avg_loss,train_n_samples,train_n_high_risk_actual,train_n_high_risk_predicted,val_mse,val_rmse,val_mae,val_r2,val_spearman_correlation,val_spearman_p_value,val_c_index,val_binary_accuracy,val_precision,val_recall,val_f1_score,val_specificity,val_auroc,val_auprc,val_boundary_mae,val_boundary_rmse,val_pred_mean,val_pred_std,val_target_mean,val_target_std,val_pred_min,val_pred_max,val_avg_loss,val_n_samples,val_n_high_risk_actual,val_n_high_risk_predicted
1,42.14464557761519,40.92653503291562,190.0443572998047,13.785657666567985,10.720309257507324,-0.4032933712005615,0.10837349814228152,0.02940981250010459,0.5373671775304181,0.5272277227722773,0.5918367346938775,0.145,0.23293172690763053,0.9019607843137255,0.5289215686274511,0.5509179656585383,8.066363334655762,10.478140101320948,19.311823,6.4480195,23.76485,11.637327,-1.156697,31.0116,42.14464557761519,404,200,49,167.7980194091797,12.953687483075223,10.42519474029541,-0.23257708549499512,0.17842584975776765,0.0713530441038385,0.5602042820663917,0.6407766990291263,0.3488372093023256,0.625,0.44776119402985076,0.6455696202531646,0.6339662447257384,0.34035402744072707,5.13969612121582,6.0658453137314,24.8681,1.986042,19.0,11.66773,20.688154,30.97471,40.92653503291562,103,24,43
2,33.63633931393961,35.158372236983695,131.8758087158203,11.48371928931652,8.962644577026367,0.08077985048294067,0.2811534243173063,8.924593241836375e-09,0.5959654615229246,0.6064356435643564,0.6759259259259259,0.37055837563451777,0.4786885245901639,0.8309178743961353,0.6411878663037348,0.6430227393790114,4.702341556549072,5.50337254553969,23.868565,2.5660782,24.123762,11.977683,17.871464,33.093624,33.63633931393961,404,197,108,146.55270385742188,12.105895417416336,9.285350799560547,-0.07651758193969727,0.17139017347885008,0.08344728884542274,0.5588293066195247,0.7184466019417476,0.3333333333333333,0.20833333333333334,0.2564102564102564,0.8734177215189873,0.6513713080168776,0.38276296453753716,4.414970397949219,5.113503004704894,22.703165,2.4592485,19.0,11.66773,17.850712,30.786177,35.158372236983695,103,24,15
3,33.66347076271884,34.22198724043239,126.99482727050781,11.26919816448836,8.999991416931152,0.07831090688705444,0.32619993477760095,1.8055959554749964e-11,0.6105561316102274,0.6039603960396039,0.6511627906976745,0.4221105527638191,0.5121951219512195,0.7804878048780488,0.6705723740654491,0.6641681002177287,5.176163673400879,6.1648564474032845,23.842493,3.3493297,24.148516,11.73818,15.733297,33.61932,33.66347076271884,404,199,129,143.6911163330078,11.987122938095188,9.113629341125488,-0.05549752712249756,0.10111586002106816,0.3094878206595524,0.5340797485759183,0.7281553398058253,0.35714285714285715,0.20833333333333334,0.2631578947368421,0.8860759493670886,0.614451476793249,0.36773749458385746,4.563072204589844,5.335983790005565,21.93419,3.1326966,19.0,11.66773,16.494097,32.484653,34.22198724043239,103,24,14
4,32.783798794080255,34.83549519630095,124.3206787109375,11.14991832754561,8.771349906921387,0.07612806558609009,0.2891933529900168,3.1861939700916374e-09,0.599385750938436,0.5767326732673267,0.625,0.2849740932642487,0.3914590747330961,0.8436018957345972,0.658841440954743,0.6373031628440529,4.708504676818848,5.630903748632824,23.108398,3.1096852,23.544554,11.600208,15.543801,32.579742,32.783798794080255,404,193,88,146.26748657226562,12.094109581621362,9.219616889953613,-0.07442247867584229,0.1488100499211991,0.1335647324582307,0.5527401296405421,0.7184466019417476,0.391304347826087,0.375,0.3829787234042553,0.8227848101265823,0.6445147679324895,0.3829421147727989,4.465928554534912,5.219119304450408,22.596998,3.1946535,19.0,11.66773,15.790772,33.451073,34.83549519630095,103,24,23
5,34.894537332454085,35.30118341372802,141.9346466064453,11.913632804751257,9.216044425964355,0.08591288328170776,0.3166178225401831,7.39017417524279e-11,0.6079237902971422,0.6188118811881188,0.6867469879518072,0.3081081081081081,0.4253731343283582,0.8812785388127854,0.664864864864865,0.6385243051988865,5.074093341827393,6.126366599078024,22.34462,3.4781194,23.5,12.460929,13.671233,32.88731,34.894537332454085,404,185,83,149.0895233154297,12.21022208296924,9.285298347473145,-0.09515202045440674,0.16553077432781407,0.09472166676245933,0.5617756825770969,0.7378640776699029,0.4482758620689655,0.5416666666666666,0.49056603773584906,0.7974683544303798,0.6598101265822786,0.40070876926287635,4.459842681884766,5.304815501493224,22.93784,3.5669065,19.0,11.66773,15.640832,34.380707,35.30118341372802,103,24,29
6,32.85010031155843,35.2478461045279,138.105712890625,11.751838702544594,8.729496002197266,0.05462247133255005,0.2983411089825687,9.482961459367883e-10,0.6018566532181567,0.6262376237623762,0.7058823529411765,0.3225806451612903,0.44280442804428044,0.8853211009174312,0.6808473907467693,0.6665116229826072,4.851603031158447,6.058400764072581,22.113796,3.9988549,23.183168,12.086574,8.630021,34.801277,32.85010031155843,404,186,85,147.80242919921875,12.157402238933232,9.271827697753906,-0.08569753170013428,0.18629701259480663,0.059542818242808424,0.568650559811432,0.7184466019417476,0.41379310344827586,0.5,0.4528301886792453,0.7848101265822784,0.6661392405063291,0.4180652398936168,4.456225395202637,5.284674984150904,23.06759,3.6038885,19.0,11.66773,15.064175,34.507904,35.2478461045279,103,24,29
7,29.58460651848253,28.929647048649908,109.40328216552734,10.459602390412714,8.061354637145996,0.14449375867843628,0.37271151167979405,9.249596100202149e-15,0.6303784016294928,0.6608910891089109,0.74,0.4,0.519298245614035,0.8812785388127854,0.7155374552634828,0.7037805693315888,4.71007776260376,5.903088566196625,22.712204,4.075613,22.930693,11.308463,9.527114,34.904655,29.58460651848253,404,185,100,137.5245819091797,11.727087528844478,7.845516681671143,-0.01020050048828125,0.1602210373860685,0.10594658373701865,0.5609899823217442,0.7766990291262136,0.6666666666666666,0.08333333333333333,0.14814814814814814,0.9873417721518988,0.6503164556962026,0.3760012974665931,4.787597179412842,6.356230087024025,17.857513,3.9032013,19.0,11.66773,9.845465,32.26048,28.929647048649908,103,24,3
8,30.04832640749287,35.65749927407619,112.391357421875,10.601479020489311,8.141456604003906,0.1521923542022705,0.4141681090377312,3.551552179135585e-18,0.643383190342419,0.6237623762376238,0.7071428571428572,0.4714285714285714,0.5657142857142857,0.788659793814433,0.7114383897889052,0.7302758255508912,4.632107734680176,5.810706405373047,23.566576,4.5014243,24.148516,11.513777,11.741557,35.79219,30.04832640749287,404,210,140,154.44232177734375,12.427482519695763,9.32142162322998,-0.13447141647338867,0.1792723295600749,0.0699985900877787,0.5659006089176979,0.6990291262135923,0.4,0.5833333333333334,0.4745762711864407,0.7341772151898734,0.6803797468354431,0.40589084908446615,4.375010967254639,5.376000776937974,23.315353,4.3315477,19.0,11.66773,14.47173,37.197014,35.65749927407619,103,24,35
9,29.712130565492068,32.10299643632529,114.65946197509766,10.707915855809555,8.079490661621094,0.12249755859375,0.37081082150204625,1.2924578285003435e-14,0.6291962862708391,0.6633663366336634,0.732824427480916,0.4873096446700508,0.5853658536585366,0.8309178743961353,0.7151475023909366,0.7183640089493701,4.900820732116699,6.11832671683728,23.514597,4.6818814,23.80693,11.430909,11.696869,38.539833,29.712130565492068,404,197,131,141.59576416015625,11.899401840435353,8.522330284118652,-0.04010581970214844,0.16277696665926897,0.1004200371134114,0.557847181300334,0.7281553398058253,0.3888888888888889,0.2916666666666667,0.3333333333333333,0.8607594936708861,0.6682489451476793,0.40601056065046703,4.093348026275635,5.3265949636573975,21.241096,4.230883,19.0,11.66773,11.589599,35.40766,32.10299643632529,103,24,18
10,30.450384253974587,30.56723214944517,113.9156265258789,10.67312637074437,8.321328163146973,0.17252075672149658,0.42444624366883715,4.237361717341258e-19,0.6505448989127278,0.6707920792079208,0.7524752475247525,0.41304347826086957,0.5333333333333333,0.8863636363636364,0.7340415019762847,0.7248431042302163,5.226631164550781,6.427441191847515,22.404675,4.4892306,22.997524,11.733109,12.363078,36.93942,30.450384253974587,404,184,101,137.87603759765625,11.742062748838308,8.170357704162598,-0.01278221607208252,0.169153048287038,0.08761841419790407,0.5611864073855825,0.7669902912621359,0.5,0.3333333333333333,0.4,0.8987341772151899,0.6856540084388185,0.4329442704184654,4.139638423919678,5.539837049986693,20.272835,4.6270285,19.0,11.66773,10.500588,35.8115,30.56723214944517,103,24,16
