epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_cohen_kappa,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_cohen_kappa,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,3,0.06493711162894829,0.07618214170328753,0.7044334975369458,0.7022572815533981,0.6628787878787878,0.8495145631067961,0.8495145631067961,0.7446808510638298,0.4062301954857894,0.555,0.7816901408450704,0.6628787878787878,0.42406910518639285,0.8107038834951457,0.8164715237591025,0.06493711162894829,406,206,200,0.5073891625615764,0.8217821782178217,0.7470238095238095,0.5652173913043478,0.6190476190476191,0.6190476190476191,0.5909090909090909,0.47728579643473257,0.875,0.8974358974358975,0.5652173913043478,0.47809283172483225,0.7732142857142857,0.49167649151642534,0.07618214170328753,101,21,80,0.2079207920792079
2,3,0.04691578918200371,0.09309305132233876,0.8497536945812808,0.8465035985216884,0.8158995815899581,0.9198113207547169,0.9198113207547169,0.8647450110864745,0.6971260853613794,0.7731958762886598,0.8982035928143712,0.8158995815899581,0.7034761113880997,0.9238961291577514,0.9271431765177065,0.04691578918200371,406,212,194,0.5221674876847291,0.7128712871287128,0.6958333333333333,0.3888888888888889,0.6666666666666666,0.6666666666666666,0.49122807017543857,0.3100117785630153,0.725,0.8923076923076924,0.3888888888888889,0.3318664304133933,0.7607142857142857,0.49106873360827247,0.09309305132233876,101,21,80,0.2079207920792079
3,3,0.03986184311797334,0.1165252963957737,0.8916256157635468,0.8877366777278939,0.8686440677966102,0.9403669724770642,0.9403669724770642,0.9030837004405287,0.7806160043228374,0.8351063829787234,0.9235294117647059,0.8686440677966102,0.7837789396880351,0.9505660745656842,0.957183977243375,0.03986184311797334,406,218,188,0.5369458128078818,0.6831683168316832,0.7297619047619048,0.37777777777777777,0.8095238095238095,0.8095238095238095,0.5151515151515151,0.32328308207705203,0.65,0.9285714285714286,0.37777777777777777,0.3751996193310741,0.7708333333333334,0.4777631658086306,0.1165252963957737,101,21,80,0.2079207920792079
4,3,0.032270707322206736,0.09982314641799443,0.9113300492610837,0.9129429517133957,0.8786407766990292,0.9427083333333334,0.9427083333333334,0.9095477386934674,0.8228019979632414,0.883177570093458,0.945,0.8786407766990292,0.8247625761170434,0.9665839174454829,0.9593186313494602,0.032270707322206736,406,192,214,0.4729064039408867,0.7425742574257426,0.749702380952381,0.43243243243243246,0.7619047619047619,0.7619047619047619,0.5517241379310345,0.3898698884758365,0.7375,0.921875,0.43243243243243246,0.4206457166488284,0.8172619047619047,0.5781314528743056,0.09982314641799443,101,21,80,0.2079207920792079
5,3,0.02570263599424787,0.15877110423668506,0.9236453201970444,0.9222789115646259,0.8977777777777778,0.9619047619047619,0.9619047619047619,0.9287356321839081,0.8467178175618073,0.8826530612244898,0.9558011049723757,0.8977777777777778,0.8490563721476734,0.9710884353741497,0.9611148113131661,0.02570263599424787,406,210,196,0.5172413793103449,0.6732673267326733,0.6532738095238095,0.34210526315789475,0.6190476190476191,0.6190476190476191,0.4406779661016949,0.23607609443043776,0.6875,0.873015873015873,0.34210526315789475,0.25679733663121806,0.7154761904761904,0.3946447473101965,0.15877110423668506,101,21,80,0.2079207920792079
6,3,0.01835378077257205,0.11663777715021124,0.9359605911330049,0.9363426768596044,0.9032258064516129,0.9751243781094527,0.9751243781094527,0.937799043062201,0.8720081480224071,0.8975609756097561,0.9735449735449735,0.9032258064516129,0.8747256817265556,0.9795655867006431,0.9735753682671026,0.01835378077257205,406,201,205,0.49507389162561577,0.7722772277227723,0.7333333333333334,0.4666666666666667,0.6666666666666666,0.6666666666666666,0.5490196078431373,0.4029812387561038,0.8,0.9014084507042254,0.4666666666666667,0.4144495000677601,0.7994047619047618,0.4687385627104744,0.11663777715021124,101,21,80,0.2079207920792079
7,3,0.011456606874234401,0.18992058827766672,0.9679802955665024,0.9688230140186915,0.949748743718593,0.984375,0.984375,0.9667519181585678,0.9358921413822422,0.9532710280373832,0.9855072463768116,0.949748743718593,0.9364502465753994,0.9918224299065421,0.9888010540238565,0.011456606874234401,406,192,214,0.4729064039408867,0.7227722772277227,0.6318452380952381,0.37037037037037035,0.47619047619047616,0.47619047619047616,0.4166666666666667,0.23855681206246637,0.7875,0.8513513513513513,0.37037037037037035,0.24179724229728727,0.7654761904761904,0.43589463096828285,0.18992058827766672,101,21,80,0.2079207920792079
8,3,0.00881967578236363,0.16898908013133648,0.9679802955665024,0.969363372589179,0.9444444444444444,0.9894179894179894,0.9894179894179894,0.9664082687338501,0.9358516249787306,0.9493087557603687,0.9903846153846154,0.9444444444444444,0.9367758753466475,0.9949528198376125,0.9937166726474972,0.008819675782363631,406,189,217,0.46551724137931033,0.7722772277227723,0.7508928571428571,0.46875,0.7142857142857143,0.7142857142857143,0.5660377358490566,0.4205537540533799,0.7875,0.9130434782608695,0.46875,0.43769682795144604,0.8,0.427144095361954,0.16898908013133646,101,21,80,0.2079207920792079
9,3,0.00821100218472786,0.19157793576053064,0.9827586206896551,0.9818228366615463,0.972972972972973,0.9953917050691244,0.9953917050691244,0.9840546697038725,0.9652932125149598,0.9682539682539683,0.9945652173913043,0.972972972972973,0.9655899703908438,0.995976885377807,0.9962992889944613,0.008211002184727862,406,217,189,0.5344827586206896,0.7722772277227723,0.6982142857142857,0.46153846153846156,0.5714285714285714,0.5714285714285714,0.5106382978723404,0.3644322845417237,0.825,0.88,0.46153846153846156,0.3679614169931467,0.7964285714285715,0.45697712176550886,0.1915779357605307,101,21,80,0.2079207920792079
10,3,0.006485765595855834,0.237903286950392,0.9827586206896551,0.9817994505494505,0.9779735682819384,0.9910714285714286,0.9910714285714286,0.9844789356984479,0.9650902837489252,0.9725274725274725,0.9888268156424581,0.9779735682819384,0.9651983151309083,0.9985282574568288,0.9988273413151151,0.006485765595855834,406,224,182,0.5517241379310345,0.7623762376237624,0.6919642857142857,0.4444444444444444,0.5714285714285714,0.5714285714285714,0.5,0.34733441033925694,0.8125,0.8783783783783784,0.4444444444444444,0.35205241824322864,0.7732142857142856,0.40289739335436014,0.23790328695039195,101,21,80,0.2079207920792079
