accuracy,balanced_accuracy,precision,recall,sensitivity,f1_score,specificity,npv,ppv,mcc,auroc,auc_pr,n_samples,n_positive,n_negative,class_ratio,best_epoch,final_auroc,final_f1,best_auroc,fold,mil_architecture,foundation_model
0.6764705882352942,0.678409090909091,0.36585365853658536,0.6818181818181818,0.6818181818181818,0.47619047619047616,0.675,0.8852459016393442,0.36585365853658536,0.2993273935297609,0.7914772727272728,0.4864856216574952,102,22,80,0.21568627450980393,1,0.7636363636363637,0.5128205128205128,0.7914772727272728,1,acmil,virchow2
0.8627450980392157,0.7642045454545454,0.7222222222222222,0.5909090909090909,0.5909090909090909,0.65,0.9375,0.8928571428571429,0.7222222222222222,0.570099577388484,0.9318181818181819,0.7853633571620893,102,22,80,0.21568627450980393,5,0.8920454545454546,0.5853658536585366,0.9318181818181819,2,acmil,virchow2
0.8118811881188119,0.6529761904761905,0.5714285714285714,0.38095238095238093,0.38095238095238093,0.45714285714285713,0.925,0.8505747126436781,0.5714285714285714,0.35932284860780667,0.8392857142857143,0.5945517219709748,101,21,80,0.2079207920792079,10,0.7779761904761905,0.375,0.8392857142857143,3,acmil,virchow2
0.900990099009901,0.7970238095238096,0.8666666666666667,0.6190476190476191,0.6190476190476191,0.7222222222222222,0.975,0.9069767441860465,0.8666666666666667,0.6779240563727866,0.8982142857142857,0.7741330856487902,101,21,80,0.2079207920792079,6,0.8738095238095238,0.5555555555555556,0.8982142857142857,4,acmil,virchow2
0.7722772277227723,0.7508928571428571,0.46875,0.7142857142857143,0.7142857142857143,0.5660377358490566,0.7875,0.9130434782608695,0.46875,0.43769682795144604,0.8583333333333333,0.6673443398503627,101,21,80,0.2079207920792079,14,0.8410714285714287,0.6190476190476191,0.8583333333333333,5,acmil,virchow2
