fold,val_auroc,best_epoch,accuracy,balanced_accuracy,precision,recall,sensitivity,f1_score,cohen_kappa,specificity,npv,ppv,mcc,auroc,auc_pr,n_samples,n_positive,n_negative,class_ratio
1,0.7193181818181819,4,0.5625,0.5599559955995599,0.2542372881355932,0.5555555555555556,0.5555555555555556,0.3488372093023256,0.08361032983891592,0.5643564356435643,0.8260869565217391,0.2542372881355932,0.09814193863189168,0.6380638063806381,0.45529950234735567,128,27,101,0.2109375
2,0.8011363636363638,16,0.671875,0.6156949028236156,0.32558139534883723,0.5185185185185185,0.5185185185185185,0.4,0.19011750527267246,0.7128712871287128,0.8470588235294118,0.32558139534883723,0.19986792312207957,0.6886688668866887,0.43547585244716613,128,27,101,0.2109375
3,0.674404761904762,2,0.3984375,0.5509717638430509,0.23404255319148937,0.8148148148148148,0.8148148148148148,0.36363636363636365,0.05339992316557818,0.2871287128712871,0.8529411764705882,0.23404255319148937,0.09416702317184299,0.6211954528786212,0.4135154554413612,128,27,101,0.2109375
4,0.7505952380952381,3,0.7421875,0.6331133113311331,0.4,0.4444444444444444,0.4444444444444444,0.42105263157894735,0.2558139534883721,0.8217821782178217,0.8469387755102041,0.4,0.256401396658515,0.6065273193986065,0.39499550516624693,128,27,101,0.2109375
5,0.6726190476190476,3,0.5234375,0.5623395672900624,0.25,0.6296296296296297,0.6296296296296297,0.35789473684210527,0.0801131008482564,0.49504950495049505,0.8333333333333334,0.25,0.10193099568667548,0.6563989732306564,0.3967182273706932,128,27,101,0.2109375
