accuracy,balanced_accuracy,precision,recall,sensitivity,f1_score,cohen_kappa,specificity,npv,ppv,mcc,auroc,auc_pr,avg_loss,n_samples,n_positive,n_negative,class_ratio,val_loss,fold,best_epoch,best_val_loss
0.7254901960784313,0.5943181818181817,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.1886363636363636,0.825,0.825,0.36363636363636365,0.18863636363636363,0.6499999999999999,0.35803896986753303,0.06511050304763165,102,22,80,0.21568627450980393,0.06511050304763165,1,11,0.06511050304763165
0.3431372549019608,0.5318181818181819,0.2289156626506024,0.8636363636363636,0.8636363636363636,0.3619047619047619,0.03173703598753175,0.2,0.8421052631578947,0.2289156626506024,0.0672273267395092,0.5698863636363636,0.27080783791431917,0.07068734155401733,102,22,80,0.21568627450980393,0.07068734155401733,2,1,0.07068734155401733
0.6831683168316832,0.5717261904761904,0.2962962962962963,0.38095238095238093,0.38095238095238093,0.3333333333333333,0.12977921378567592,0.7625,0.8243243243243243,0.2962962962962963,0.1315420663513459,0.6142857142857143,0.38712517971924926,0.07026873949608572,101,21,80,0.2079207920792079,0.07026873949608572,3,5,0.07026873949608572
0.693069306930693,0.6482142857142856,0.35294117647058826,0.5714285714285714,0.5714285714285714,0.43636363636363634,0.24133753331717955,0.725,0.8656716417910447,0.35294117647058826,0.25456450147903537,0.6744047619047618,0.47498611726603257,0.05795578682324895,101,21,80,0.2079207920792079,0.05795578682324895,4,14,0.05795578682324895
0.7920792079207921,0.6404761904761904,0.5,0.38095238095238093,0.38095238095238093,0.43243243243243246,0.30799347471451877,0.9,0.8470588235294118,0.5,0.31226111317472827,0.694047619047619,0.4506356802807857,0.06497195691536216,101,21,80,0.2079207920792079,0.06497195691536216,5,16,0.06497195691536216
