Strategy,AUROC,AUC-PR,Balanced Acc,F1-Score,Sensitivity,Specificity,MCC
No Balancing (Baseline),0.708 ± 0.054,0.473 ± 0.054,0.540 ± 0.037,0.149 ± 0.132,0.093 ± 0.091,0.988 ± 0.018,0.180 ± 0.108
Focal Loss,0.713 ± 0.046,0.475 ± 0.046,0.552 ± 0.051,0.182 ± 0.160,0.121 ± 0.123,0.983 ± 0.024,0.202 ± 0.133
Weighted Cross-Entropy,0.708 ± 0.054,0.473 ± 0.054,0.540 ± 0.037,0.149 ± 0.132,0.093 ± 0.091,0.988 ± 0.018,0.180 ± 0.108
Balanced Sampling,0.700 ± 0.058,0.454 ± 0.086,0.617 ± 0.108,0.379 ± 0.173,0.422 ± 0.241,0.812 ± 0.063,0.218 ± 0.201
Focal Loss + Balanced Sampling,0.718 ± 0.057,0.467 ± 0.055,0.616 ± 0.073,0.348 ± 0.197,0.575 ± 0.329,0.657 ± 0.226,0.193 ± 0.120
Weighted CE + Balanced Sampling,0.700 ± 0.058,0.454 ± 0.086,0.617 ± 0.108,0.379 ± 0.173,0.422 ± 0.241,0.812 ± 0.063,0.218 ± 0.201
