accuracy,balanced_accuracy,precision,recall,sensitivity,f1_score,specificity,npv,ppv,mcc,auroc,auc_pr,avg_loss,n_samples,n_positive,n_negative,class_ratio,val_loss,fold,best_epoch,best_val_loss
0.7941176470588235,0.7698863636363636,0.5161290322580645,0.7272727272727273,0.7272727272727273,0.6037735849056604,0.8125,0.9154929577464789,0.5161290322580645,0.4826777172147418,0.8039772727272727,0.5308764120261394,0.5547760071662756,102,22,80,0.21568627450980393,0.5547760071662756,1,20,0.5547760071662756
0.8137254901960784,0.7329545454545454,0.5652173913043478,0.5909090909090909,0.5909090909090909,0.5777777777777777,0.875,0.8860759493670886,0.5652173913043478,0.45854298608260885,0.83125,0.650373580276357,0.484765116411906,102,22,80,0.21568627450980393,0.484765116411906,2,25,0.484765116411906
0.7722772277227723,0.6982142857142857,0.46153846153846156,0.5714285714285714,0.5714285714285714,0.5106382978723404,0.825,0.88,0.46153846153846156,0.3679614169931467,0.7357142857142858,0.5444112338619851,0.5395513108143439,101,21,80,0.2079207920792079,0.5395513108143439,3,8,0.5395513108143439
0.8415841584158416,0.812202380952381,0.5925925925925926,0.7619047619047619,0.7619047619047619,0.6666666666666666,0.8625,0.9324324324324325,0.5925925925925926,0.5725627701351114,0.9047619047619047,0.7774881156982913,0.4225605342250604,101,21,80,0.2079207920792079,0.4225605342250604,4,29,0.4225605342250604
0.8514851485148515,0.7833333333333333,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.6511627906976745,0.9,0.9113924050632911,0.6363636363636364,0.5571311247291122,0.8107142857142857,0.6487445212644363,0.48718277307657093,101,21,80,0.2079207920792079,0.48718277307657093,5,21,0.48718277307657093
