epoch,fold,train_loss,val_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_sensitivity,train_f1_score,train_specificity,train_npv,train_ppv,train_mcc,train_auroc,train_auc_pr,train_avg_loss,train_n_samples,train_n_positive,train_n_negative,train_class_ratio,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_sensitivity,val_f1_score,val_specificity,val_npv,val_ppv,val_mcc,val_auroc,val_auc_pr,val_avg_loss,val_n_samples,val_n_positive,val_n_negative,val_class_ratio
1,5,0.08218417017191064,0.08082665832569966,0.46798029556650245,0.4830963665086888,0.47075208913649025,0.8666666666666667,0.8666666666666667,0.6101083032490975,0.0995260663507109,0.44680851063829785,0.47075208913649025,-0.05279252611214017,0.5101713452424352,0.5493862273514083,0.08218417017191064,406,195,211,0.4802955665024631,0.2376237623762376,0.5011904761904762,0.20833333333333334,0.9523809523809523,0.9523809523809523,0.3418803418803419,0.05,0.8,0.20833333333333334,0.0044543540318737395,0.5666666666666667,0.28408708609195965,0.08082665832569966,101,21,80,0.2079207920792079
2,5,0.07354949608299077,0.07626257406977507,0.5344827586206896,0.5083479361370716,0.531328320802005,0.9906542056074766,0.9906542056074766,0.6916802610114192,0.026041666666666668,0.7142857142857143,0.531328320802005,0.06403702490404682,0.5453903816199377,0.5965346316451767,0.07354949608299077,406,214,192,0.5270935960591133,0.24752475247524752,0.5074404761904762,0.21052631578947367,0.9523809523809523,0.9523809523809523,0.3448275862068966,0.0625,0.8333333333333334,0.21052631578947367,0.02554747247854024,0.5982142857142857,0.3531125328240539,0.07626257406977507,101,21,80,0.2079207920792079
3,5,0.07324129949305572,0.07646616691580185,0.5,0.4929368932038835,0.5037783375314862,0.970873786407767,0.970873786407767,0.6633499170812603,0.015,0.3333333333333333,0.5037783375314862,-0.047968691133337286,0.57126213592233,0.5759260071859191,0.07324129949305572,406,206,200,0.5073891625615764,0.22772277227722773,0.49494047619047615,0.20618556701030927,0.9523809523809523,0.9523809523809523,0.3389830508474576,0.0375,0.75,0.20618556701030927,-0.021056123428215636,0.6226190476190476,0.36916149971133944,0.07646616691580185,101,21,80,0.2079207920792079
4,5,0.069309530670152,0.08752615864460285,0.5221674876847291,0.5043140114230161,0.5219638242894057,0.957345971563981,0.957345971563981,0.6755852842809364,0.05128205128205128,0.5263157894736842,0.5219638242894057,0.020409743029875617,0.6401749908858914,0.6713174645065914,0.069309530670152,406,211,195,0.5197044334975369,0.2079207920792079,0.5,0.2079207920792079,1.0,1.0,0.3442622950819672,0.0,0.0,0.2079207920792079,0.0,0.6511904761904762,0.4099527044850655,0.08752615864460285,101,21,80,0.2079207920792079
5,5,0.07009560739000638,0.07262782623561528,0.5098522167487685,0.5444037145650049,0.4823848238482385,0.956989247311828,0.956989247311828,0.6414414414414414,0.1318181818181818,0.7837837837837838,0.4823848238482385,0.1537457308640282,0.6411045943304008,0.6170393240797545,0.07009560739000638,406,186,220,0.458128078817734,0.26732673267326734,0.5023809523809524,0.2087912087912088,0.9047619047619048,0.9047619047619048,0.3392857142857143,0.1,0.8,0.2087912087912088,0.006470154480826261,0.6505952380952381,0.4134887052001588,0.07262782623561528,101,21,80,0.2079207920792079
6,5,0.06709165200956312,0.0775648968724104,0.541871921182266,0.5352184466019417,0.5259067357512953,0.9854368932038835,0.9854368932038835,0.6858108108108109,0.085,0.85,0.5259067357512953,0.1627197056312924,0.6634708737864078,0.6889486772444255,0.06709165200956312,406,206,200,0.5073891625615764,0.2376237623762376,0.5011904761904762,0.20833333333333334,0.9523809523809523,0.9523809523809523,0.3418803418803419,0.05,0.8,0.20833333333333334,0.0044543540318737395,0.6535714285714287,0.4162497350989211,0.0775648968724104,101,21,80,0.2079207920792079
7,5,0.06776891951905746,0.066493965112246,0.5147783251231527,0.541130604288499,0.4905149051490515,0.9526315789473684,0.9526315789473684,0.6475849731663685,0.12962962962962962,0.7567567567567568,0.4905149051490515,0.14262140707206136,0.6853070175438597,0.6742655053297568,0.06776891951905746,406,190,216,0.46798029556650245,0.297029702970297,0.5035714285714286,0.20930232558139536,0.8571428571428571,0.8571428571428571,0.3364485981308411,0.15,0.8,0.20930232558139536,0.008151391459392225,0.6529761904761904,0.4080754138878203,0.066493965112246,101,21,80,0.2079207920792079
8,5,0.06697267668285206,0.07206029129716066,0.5615763546798029,0.531831370541048,0.5514511873350924,0.9631336405529954,0.9631336405529954,0.7013422818791947,0.10052910052910052,0.7037037037037037,0.5514511873350924,0.12745140157735918,0.6814912344866261,0.7107070713067668,0.06697267668285206,406,217,189,0.5344827586206896,0.24752475247524752,0.48988095238095236,0.20430107526881722,0.9047619047619048,0.9047619047619048,0.3333333333333333,0.075,0.75,0.20430107526881722,-0.030411497677494004,0.6511904761904762,0.41386921511623587,0.07206029129716066,101,21,80,0.2079207920792079
9,5,0.06691930833838734,0.06692772559248485,0.5369458128078818,0.5450197849149128,0.5149051490514905,0.9547738693467337,0.9547738693467337,0.6690140845070423,0.13526570048309178,0.7567567567567568,0.5149051490514905,0.15639795758936606,0.6829801179812105,0.706287025779705,0.06691930833838734,406,199,207,0.49014778325123154,0.3069306930693069,0.4922619047619048,0.20481927710843373,0.8095238095238095,0.8095238095238095,0.3269230769230769,0.175,0.7777777777777778,0.20481927710843373,-0.016411316017543472,0.6517857142857143,0.416517743679242,0.06692772559248485,101,21,80,0.2079207920792079
10,5,0.06595081337453688,0.07281397053828606,0.5344827586206896,0.5408980582524272,0.5145118733509235,0.975,0.975,0.6735751295336787,0.10679611650485436,0.8148148148148148,0.5145118733509235,0.1641269147743982,0.7166747572815534,0.6953348542631028,0.06595081337453688,406,200,206,0.49261083743842365,0.25742574257425743,0.5136904761904761,0.2127659574468085,0.9523809523809523,0.9523809523809523,0.34782608695652173,0.075,0.8571428571428571,0.2127659574468085,0.043751227677500254,0.6636904761904762,0.4256479991198888,0.07281397053828606,101,21,80,0.2079207920792079
